	篇名	作者	学位授予单位	数据库	学位授予年度	被引	下载	操作
18	穴位埋线结合耳压治疗脾虚湿盛型单纯性肥胖的临床研究	姚蓉蓉	云南中医药大学	硕士	2023	1	498	原版阅读      CNKI AI阅读
19	中药复方治疗单纯性肥胖症的数据挖掘及系统评价	孙子雅（Patthranee Danaiswat）	成都中医药大学	硕士	2022		169	原版阅读      CNKI AI阅读
20	2型糖尿病患者胆汁酸代谢与血糖控制的相关性及中医证候胆汁酸代谢轮廓分析研究	杨茂艺	成都中医药大学	博士	2022		297	原版阅读      CNKI AI阅读
21	青春期崩漏中医证型、中医体质及相关因素调研	王妮	成都中医药大学	硕士	2022		97	原版阅读      CNKI AI阅读
22	基于文献的杵针点穴操作规范研制及杵针点穴“泻法”干预肥胖大鼠效应机制研究	刘瑶瑶	成都中医药大学	硕士	2022		117	原版阅读      CNKI AI阅读
23	平衡火罐在女性脾虚湿阻型单纯性肥胖的临床应用研究	周俊丽	广州中医药大学	硕士	2022	1	282	原版阅读      CNKI AI阅读
24	脐周八穴疏密波接力电针法治疗单纯性肥胖症的临床观察	李恪（Nasyrov Firuz）	黑龙江中医药大学	硕士	2022	2	233	原版阅读      CNKI AI阅读
25	穴位埋线联合化湿减肥茶治疗脾虚湿阻型产后肥胖的临床研究	毛丹	河南中医药大学	硕士	2022	2	599	原版阅读      CNKI AI阅读
26	穴位埋线结合耳压治疗腹型肥胖的临床观察	刘凯琪	广西中医药大学	硕士	2022	8	663	原版阅读      CNKI AI阅读
27	足三里点穴推拿联合口服人参提取物改善肥胖小鼠运动减重效率的研究	张泽鹏	长春中医药大学	博士	2022	3	466	原版阅读      CNKI AI阅读
28	昆明地区女性月经过少相关因素及中医证型分布调研	郭苗苗	云南中医药大学	硕士	2022		5	原版阅读      CNKI AI阅读
29	大学生肥胖人群的监控与干预的研究	孙卓雅	华中科技大学	硕士	2022		571	原版阅读      CNKI AI阅读
30	基于消费者需求的C健康管理公司产品改进策略	邓山川	电子科技大学	硕士	2022		323	原版阅读      CNKI AI阅读
31	针刺配合穴位贴敷治疗脾虚湿盛型单纯性肥胖的疗效观察	梁雪仪	广州中医药大学	硕士	2022	1	168	原版阅读      CNKI AI阅读
32	穴位埋线联合手法按摩治疗产后腹型肥胖的临床研究	齐甜甜	南京中医药大学	硕士	2022	1	280	原版阅读      CNKI AI阅读
33	马来西亚月经过少患者中医五形人体质与相关因素研究	杨颐纹	广州中医药大学	博士	2021	3	370	原版阅读      CNKI AI阅读
34	茯苓荷叶片药学研究及减肥保健功能与健脾利湿中医功效实验研究	朱依琳	北京中医药大学	硕士	2021	4	1175	原版阅读      CNKI AI阅读
35	益肾疏肝药膳粥防治女性围绝经期肥胖的临床观察	赵明靖	黑龙江中医药大学	硕士	2021	3	571	原版阅读      CNKI AI阅读
36	针刀治疗胃热湿阻型腹型肥胖合并高脂血症的临床观察	阳清	黑龙江省中医药科学院	硕士	2021	16	355	原版阅读      CNKI AI阅读
37	腹背部走留罐治疗湿热质腹型肥胖的临床观察	邓文剑	湖南中医药大学	硕士	2021	12	461	原版阅读      CNKI AI阅读
38	健脾益气化浊汤联合腹部埋线治疗成人单纯性肥胖脾虚湿阻型的疗效观察	陈凯锋	湖南中医药大学	硕士	2021	4	367	原版阅读      CNKI AI阅读
39	子午流注取穴法治疗脾虚湿盛型肥胖症的临床观察	Eom Jeong Min（严晶玟）	广州中医药大学	硕士	2021	3	660	原版阅读      CNKI AI阅读
40	薏荷减肥茶的降脂作用及其调节脂代谢和肠道菌群的机制研究	段文韬	南方医科大学	硕士	2021	3	1358	原版阅读      CNKI AI阅读
41	针刺结合八段锦治疗胃热湿阻型单纯性腹型肥胖的临床疗效观察	沈佳韵	上海中医药大学	硕士	2021	2	129	原版阅读      CNKI AI阅读
42	电针联合减肥方治疗胃热湿阻型单纯性肥胖的疗效观察	谢汉兴	广西中医药大学	硕士	2021	8	580	原版阅读      CNKI AI阅读
43	“固本培元，健脾和胃”穴组埋线治疗腹型肥胖的临床疗效观察	唐霁	广西中医药大学	硕士	2021	9	418	原版阅读      CNKI AI阅读
44	调理三焦法穴位埋线对单纯性肥胖患者内分泌激素的影响研究	曾启峰	广西中医药大学	硕士	2021	2	429	原版阅读      CNKI AI阅读
45	谷方益元减脂法干预痰湿体质单纯性肥胖的回顾性研究	佘义勇	湖南中医药大学	硕士	2021	3	641	原版阅读      CNKI AI阅读
46	腹部腧穴不同深度电针刺激治疗单纯性肥胖病的临床研究	陆卫	南京中医药大学	硕士	2021	3	289	原版阅读      CNKI AI阅读
47	穴位埋线治疗肝郁气滞型单纯性肥胖的临床疗效观察	陈霞	安徽中医药大学	硕士	2021	2	492	原版阅读      CNKI AI阅读
48	非肥胖型多囊卵巢综合征患者的中医证候分类研究	陈强	成都中医药大学	硕士	2021	1	168	原版阅读      CNKI AI阅读
49	基于“泻其有余”理论的杵针对DIO大鼠体重及irisin的影响研究	陈雅冰	成都中医药大学	硕士	2020	1	144	原版阅读      CNKI AI阅读
50	针刺阳明五行穴治疗单纯性肥胖的临床研究	辛雅静	山东中医药大学	硕士	2020	2	187	原版阅读      CNKI AI阅读
	中文题名	作者	学位授予单位	数据库	学位授予年度	被引	下载	操作
51	“引气归元健脾胃”针法治疗脾肾阳虚型单纯性肥胖的临床研究	傅容璇	广西中医药大学	硕士	2020	3	442	原版阅读      CNKI AI阅读
52	腹部拔罐结合减肥膏治疗腹型肥胖的临床研究	郑颖	广西中医药大学	硕士	2020	8	1197	原版阅读      CNKI AI阅读
53	针刺对肥胖大鼠脂肪组织蛋白表达影响的研究	李超德	广西中医药大学	硕士	2020	5	171	原版阅读      CNKI AI阅读
54	连陈汤治疗脾虚湿阻型肥胖的疗效观察及对肠道菌群的影响	刘翠翠	黑龙江中医药大学	硕士	2020	22	534	原版阅读      CNKI AI阅读
55	不同长度线体干预穴位埋线治疗脾虚湿阻型单纯性肥胖的量效研究	黄珍珍	北京中医药大学	硕士	2020	7	516	原版阅读      CNKI AI阅读
56	温针灸联合耳针治疗单纯性肥胖（脾虚湿阻型）的临床研究	王海丽	长春中医药大学	硕士	2020	11	523	原版阅读      CNKI AI阅读
57	针刺埋线联合中药内服治疗脾虚湿胜型肥胖的临床观察	钟冰	广西中医药大学	硕士	2020	3	310	原版阅读      CNKI AI阅读
58	推拿结合针刺对学龄期单纯性肥胖儿童干预效果的临床研究	李俊婵	广西中医药大学	硕士	2020	8	473	原版阅读      CNKI AI阅读
59	消脂方治疗单纯性肥胖的临床疗效观察及作用机制初探	孙怡婕	上海中医药大学	博士	2020	2	493	原版阅读      CNKI AI阅读
60	针刺配合耳压治疗单纯性肥胖（痰湿体质）的临床观察及机理探讨	刘梦薇	南京中医药大学	博士	2020	8	1061	原版阅读      CNKI AI阅读
61	不同针灸疗法治疗单纯性肥胖的临床比较研究	唐琳洁	湖北中医药大学	硕士	2020	5	605	原版阅读      CNKI AI阅读
62	基于期刊文献对近10年单纯性肥胖和超重证治特点的研究	汪洋	辽宁中医药大学	硕士	2020	9	368	原版阅读      CNKI AI阅读
63	电针治疗食源性肥胖大鼠效应差异的mTOR/S6K1自噬机制研究	姚俊鹏	成都中医药大学	硕士	2020	13	328	原版阅读      CNKI AI阅读
64	月经后期的中医证候与体质类型及发病因素的相关性研究	史荣荣	天津中医药大学	硕士	2020	5	252	原版阅读      CNKI AI阅读
65	子午流注针法治疗脾虚湿阻型单纯性肥胖症的临床研究	麦舒敏	广州中医药大学	硕士	2020	4	287	原版阅读      CNKI AI阅读
66	化脂丸对痰湿内盛型原发性肥胖患者肠道微生态的干预研究	买尔孜古丽·吐尔逊	新疆医科大学	硕士	2020	2	281	原版阅读      CNKI AI阅读
67	非肥胖型多囊卵巢综合征发病相关因素及中医证候分布规律的研究	黄灿灿	甘肃中医药大学	硕士	2020	11	520	原版阅读      CNKI AI阅读
68	五运六气指导脂肪层穴位埋线取穴治疗胃热湿阻型单纯性肥胖症的临床疗效观察	支娜	贵州中医药大学	硕士	2020	1	307	原版阅读      CNKI AI阅读
69	140例POI患者中医证型、生存质量及相关因素研究分析	史薇	成都中医药大学	硕士	2020	14	301	原版阅读      CNKI AI阅读
70	不同腧穴电针减肥效应的差异及神经-免疫互作机制研究	陆梦江	南京中医药大学	博士	2020	17	721	原版阅读      CNKI AI阅读
71	胆“藏泻失调”的理论验证及利胆软坚方调脂减肥的作用机制研究	高敏	上海中医药大学	博士	2019	2	247	原版阅读      CNKI AI阅读
72	基于脂肪能量代谢探讨背俞穴埋线对OVX大鼠肥胖的作用机制	金颖	辽宁中医药大学	博士	2019	21	893	原版阅读      CNKI AI阅读
73	扬刺法治疗胃热湿阻型单纯性肥胖病的临床研究	张胜田	黑龙江中医药大学	硕士	2019	2	257	原版阅读      CNKI AI阅读
74	基于中医体质辨识下的长春市大学生膳食营养状况调查	杜佳蕾	长春中医药大学	硕士	2019	9	911	原版阅读      CNKI AI阅读
75	基于数据挖掘的针灸治疗单纯性肥胖病的腧穴优选与配伍规律谱研究	姜斗善	长春中医药大学	硕士	2019	6	289	原版阅读      CNKI AI阅读
76	针灸治疗腹型肥胖诊疗规律探讨	陈殷殷	中国中医科学院	硕士	2019	16	899	原版阅读      CNKI AI阅读
77	阴阳调理灸结合电针改善单纯性肥胖患者痰湿体质的临床研究	王丽	湖北中医药大学	硕士	2019	14	643	原版阅读      CNKI AI阅读
78	调理三焦法穴位埋线治疗单纯性肥胖的临床观察	杜涵哲	广西中医药大学	硕士	2019	9	391	原版阅读      CNKI AI阅读
79	三子养亲汤合越鞠丸治疗痰湿型肥胖症的临床研究	王九元	山西中医药大学	硕士	2019	6	337	原版阅读      CNKI AI阅读
80	穴位埋线疗法治疗单纯性肥胖症的临床疗效评价	边恩敬	上海中医药大学	硕士	2019		285	原版阅读      CNKI AI阅读
81	苍附导痰汤加味联合二甲双胍治疗痰湿型肥胖症伴血脂异常的临床疗效观察	杨昕宇	上海中医药大学	硕士	2019	5	208	原版阅读      CNKI AI阅读
82	新媒体环境下中医药文化传播研究——以手机APP为例	杨银芳	江西中医药大学	硕士	2019	8	1280	原版阅读      CNKI AI阅读
83	从免疫炎症反应角度探讨温胆汤干预肥胖痰湿证的内在机制	舒晴	江西中医药大学	硕士	2019	5	342	原版阅读      CNKI AI阅读
84	俞募配穴埋线治疗单纯性肥胖临床研究	黄旗中	广州中医药大学	硕士	2019	1	230	原版阅读      CNKI AI阅读
85	电针调控肥胖模型小鼠慢性炎症水平和肠道通透性的机制研究	陈桥桥	成都中医药大学	硕士	2019	2	283	原版阅读      CNKI AI阅读
86	“通元”针法治疗脾肾阳虚型单纯性肥胖症的临床研究	杨雁歌	广州中医药大学	硕士	2019	8	244	原版阅读      CNKI AI阅读
87	从针灸减肥的辨证及取穴方法论脏腑的重要作用	成青青	北京中医药大学	硕士	2019	3	1432	原版阅读      CNKI AI阅读
88	电针结合耳压治疗胃肠实热型肥胖的临床研究	方玉文	南京中医药大学	硕士	2019	2	266	原版阅读      CNKI AI阅读
89	俞募埋线治疗脾虚湿盛腹型肥胖临床疗效研究	金煜昊	云南中医药大学	硕士	2019	10	341	原版阅读      CNKI AI阅读
90	辨体质论治观察电针治疗单纯性肥胖病的临床疗效	高扬	南京中医药大学	硕士	2019	5	335	原版阅读      CNKI AI阅读
91	电针治疗脾虚湿阻型肥胖病疗效观察	庄东璋	南京中医药大学	硕士	2019	3	160	原版阅读      CNKI AI阅读
92	电针疗法与穴位埋线治疗胃热湿阻型单纯性肥胖症的临床观察	刘莹	南京中医药大学	硕士	2019	2	374	原版阅读      CNKI AI阅读
93	通元针法治疗腹型肥胖的临床研究	吴凯琪（Ng Hoi Kei）	广州中医药大学	硕士	2019	8	323	原版阅读      CNKI AI阅读
94	针刺配合运动疗法治疗脾虚湿阻型单纯性肥胖的临床研究	谢宛庭	广州中医药大学	硕士	2018	1	165	原版阅读      CNKI AI阅读
95	台湾鳄梨汤灌肠合十全大补汤加减治疗产后便秘和产后肥胖的临床研究	马博荣	山东中医药大学	博士	2018	2	399	原版阅读      CNKI AI阅读
96	超重及单纯性肥胖就诊患者中医证素分布特点及健脾调肝饮对肥胖小鼠白色脂肪棕色化及肠道菌群影响的研究	谷雨明	山东中医药大学	博士	2018	16	891	原版阅读      CNKI AI阅读
97	针刺、拔罐、埋线的不同治疗顺序痰湿型单纯性肥胖症的临床研究	张守飞	山东中医药大学	硕士	2018	3	317	原版阅读      CNKI AI阅读
98	《亚洲健康秘诀》（第四章）英汉翻译实践报告	赵嘉敏	内蒙古大学	硕士	2018		117	原版阅读      CNKI AI阅读
99	穴位埋线治疗脾虚湿阻型单纯性肥胖症的临床疗效观察	李钰	福建中医药大学	硕士	2018	2	227	原版阅读      CNKI AI阅读
100	温阳消浊方针刺治疗单纯性肥胖症的临床研究	刘雪兰	福建中医药大学	硕士	2018	13	405	原版阅读      CNKI AI阅读
	中文题名	作者	学位授予单位	数据库	学位授予年度	被引	下载	操作
101	以单纯性肥胖为例探讨针灸临床RCT对照设计存在的问题	曾毅	中国中医科学院	硕士	2018	3	359	原版阅读      CNKI AI阅读
102	不同频率电针治疗腹型肥胖的临床研究	郑易炜	湖北中医药大学	硕士	2018	26	508	原版阅读      CNKI AI阅读
103	基于iTRAQ技术分析针刺对食源性肥胖大鼠下丘脑影响的蛋白质组学研究	林青琰	广西中医药大学	硕士	2018	4	477	原版阅读      CNKI AI阅读
104	针灸调体疗法治疗单纯性肥胖的临床研究	贺高峰	山西中医药大学	硕士	2018		204	原版阅读      CNKI AI阅读
105	调神针法对单纯性肥胖患者心理状况调整作用研究	黄慧莹	广州中医药大学	硕士	2018	3	248	原版阅读      CNKI AI阅读
106	穴位埋线法与电针疗法治疗脾虚湿阻型单纯性肥胖的临床研究	李苗苗	北京中医药大学	硕士	2018	19	1278	原版阅读      CNKI AI阅读
107	卵巢储备功能减退与体脂率、体质指数及影响因素的相关性研究	赵润泽	陕西中医药大学	硕士	2018	19	504	原版阅读      CNKI AI阅读
108	靳三针结合隔盐灸治疗痰湿型中心性肥胖的临床观察	陈爱玲	广州中医药大学	博士	2018	13	589	原版阅读      CNKI AI阅读
109	耳穴脉冲治疗单纯性肥胖症的临床随机对照研究	李晨依	成都中医药大学	硕士	2018	4	239	原版阅读      CNKI AI阅读
110	带脉埋线治疗对腹型单纯性肥胖床的临床观察	陈淑芹（Tan Suk Cin）	广州中医药大学	硕士	2018	7	342	原版阅读      CNKI AI阅读
111	针刺结合精灸治疗脾虚湿盛型肥胖症的临床研究	唐芳蕙	广州中医药大学	硕士	2018	10	288	原版阅读      CNKI AI阅读
112	针灸治疗肥胖女性患者饮食失调的临床比较研究	Fatima	南京中医药大学	博士	2018		569	原版阅读      CNKI AI阅读
113	基于“方证相应”的越婢汤加味联合诺伽特营养棒治疗单纯性肥胖的临床研究	金玉	南京中医药大学	博士	2018	7	484	原版阅读      CNKI AI阅读
114	“引气归元法”治疗单纯性肥胖症（胃热湿阻型）的临床研究	李洪秋	长春中医药大学	硕士	2018	1	207	原版阅读      CNKI AI阅读
115	基于数据挖掘技术的针灸治疗单纯性肥胖选穴规律的分析	荣硕	长春中医药大学	硕士	2017	6	553	原版阅读      CNKI AI阅读
116	针刺与CM3药物疗法治疗单纯性肥胖的临床随机对照研究	JENS MITTELBACH	山东中医药大学	博士	2017	1	197	原版阅读      CNKI AI阅读
117	穴位埋线治疗脾虚湿阻型单纯性肥胖症的临床疗效研究	张越	广西中医药大学	硕士	2017	7	302	原版阅读      CNKI AI阅读
118	温肾健脾化痰方调控单纯性肥胖大鼠脂代谢及瘦素抵抗的机制研究	周慧敏	湖北中医药大学	博士	2017	28	993	原版阅读      CNKI AI阅读
119	降糖消渴颗粒及益气温阳组分对肥胖小鼠C57BL/6J白色脂肪棕色化的影响研究	左加成	北京中医药大学	博士	2017	20	1509	原版阅读      CNKI AI阅读
120	药罐疗法对腹型肥胖人群内脏脂肪代谢影响的临床研究	王晓曼	北京中医药大学	硕士	2017	32	765	原版阅读      CNKI AI阅读
121	电针结合有氧运动对单纯性肥胖基础代谢率的影响	简妙如（Chien,miaoju）	南京中医药大学	硕士	2017	9	442	原版阅读      CNKI AI阅读
122	排刺法加耳穴改善腹部脂肪堆积肥胖患者腹围的随机对照研究	吴昊赛	成都中医药大学	硕士	2017	4	218	原版阅读      CNKI AI阅读
123	俞募前后配穴埋线治疗单纯性肥胖症临床疗效观察	陈云欣（Tan Yin Shen）	广州中医药大学	硕士	2017	3	258	原版阅读      CNKI AI阅读
124	肥三针穴位埋线治疗产后肥胖的临床研究	徐伟甄	广州中医药大学	硕士	2017	17	959	原版阅读      CNKI AI阅读
125	穴位埋线与温针灸治疗单纯性肥胖症的对照研究	曹雪玉（Choo Suit Yoke）	广州中医药大学	硕士	2017	10	364	原版阅读      CNKI AI阅读
126	电针介入时间对单纯性肥胖临床疗效的影响	黄迪迪	南京中医药大学	硕士	2018	2	164	原版阅读      CNKI AI阅读
127	健脾益气针法对肥胖鼠肠道菌群及肠黏膜TLRs/TRAF6信号通路的调控研究	司原成	成都中医药大学	博士	2017	25	1271	原版阅读      CNKI AI阅读
128	王东教授以消脂减肥方治疗单纯性肥胖的经验总结	李红星	辽宁中医药大学	硕士	2017	11	654	原版阅读      CNKI AI阅读
129	糖肝煎联合电针治疗肝郁脾虚、湿热蕴结型单纯性肥胖的临床疗效观察	高超	湖北中医药大学	硕士	2016	2	261	原版阅读      CNKI AI阅读
130	防风通圣丸治疗单纯性肥胖的临床疗效观察及对LP、APN的影响	吴文妙	黑龙江中医药大学	硕士	2016	6	339	原版阅读      CNKI AI阅读
131	佩连麻黄方治疗单纯性肥胖的疗效观察及对脂多糖（LPS）的影响	于洪宇	黑龙江中医药大学	硕士	2016	9	283	原版阅读      CNKI AI阅读
132	火针治疗痰湿闭阻型单纯性肥胖症的临床研究	贾海玲	黑龙江中医药大学	硕士	2016	10	428	原版阅读      CNKI AI阅读
133	温肾健脾化痰方治疗肥胖症的理论及实验研究	王文广	湖北中医药大学	博士	2016	19	1033	原版阅读      CNKI AI阅读
134	埋线疗法中浸药羊肠线在肥胖大鼠体内抗排斥反应的机理研究	阮祯	湖北中医药大学	硕士	2016	1	161	原版阅读      CNKI AI阅读
135	针灸对单纯性肥胖症伴血尿酸增高影响的临床研究	陈纪华	广西中医药大学	硕士	2016	4	196	原版阅读      CNKI AI阅读
136	针灸治疗对单纯性肥胖患者肠道菌群的调节效应	梁媚	广西中医药大学	硕士	2016	36	878	原版阅读      CNKI AI阅读
137	马来西亚不同种族差异的针灸应用情况研究	梁家仁（LIANG,CHIA-JEN）	山东中医药大学	博士	2016	3	566	原版阅读      CNKI AI阅读
138	中药内服配合隔姜灸干预肥胖症合并IGR的临床研究	张元花	山东中医药大学	硕士	2016	2	162	原版阅读      CNKI AI阅读
139	卵巢早衰患者的体质及相关影响因素的调查研究	徐亚男	山东中医药大学	硕士	2016	9	342	原版阅读      CNKI AI阅读
140	电针结合有氧运动及饮食干预治疗胃热湿阻型单纯性肥胖的临床观察	梁倩妍	湖北中医药大学	硕士	2016	5	305	原版阅读      CNKI AI阅读
141	万育堂药房网站博客的翻译实践报告	牛晓光	大连外国语大学	硕士	2016		140	原版阅读      CNKI AI阅读
142	穴位埋线合并中药治疗脾虚痰湿型肥胖的临床研究	曾俊凯（Tseng Chun-kai）	广州中医药大学	博士	2016	11	1523	原版阅读      CNKI AI阅读
143	淮扬金花菜（秧草）对单纯性肥胖大鼠脂代谢调节及其分子机制初步探讨	张广庆	黑龙江中医药大学	硕士	2016	1	97	原版阅读      CNKI AI阅读
144	赖氏通元针法治疗脾虚湿阻型单纯性肥胖的临床研究	许秀玫	广州中医药大学	硕士	2016	9	358	原版阅读      CNKI AI阅读
145	电针结合饮食控制治疗单纯性肥胖的临床研究	裴海寅（Bae Hae In）	南京中医药大学	博士	2016	7	490	原版阅读      CNKI AI阅读
146	单纯性肥胖临床基本证型分析与针灸辨证施治的临床研究	许育维	南京中医药大学	博士	2016	12	605	原版阅读      CNKI AI阅读
147	穴位埋线治疗痰湿型肥胖伴糖耐量异常的临床研究	许蕾	安徽中医药大学	硕士	2016	15	412	原版阅读      CNKI AI阅读
148	张兰教授治疗单纯性肥胖症临床经验总结	牛天宇	辽宁中医药大学	硕士	2016	1	321	原版阅读      CNKI AI阅读
149	王光鼎教授学术思想及临床经验总结—俞募配穴法穴位埋线治疗单纯性肥胖症临床研究	吴向农	云南中医学院	硕士	2015	4	263	原版阅读      CNKI AI阅读
150	穴位敷贴治疗单纯性肥胖胃肠腑热证的临床疗效观察	李友	湖南中医药大学	硕士	2015	13	546	原版阅读      CNKI AI阅读
	中文题名	作者	学位授予单位	数据库	学位授予年度	被引	下载	操作
151	针刺治疗单纯性肥胖的文献质量评价及其临床用穴规律探讨	黄勉雄	广州中医药大学	博士	2015	10	597	原版阅读      CNKI AI阅读
152	电针结合低能量激光治疗脾虚湿阻型肥胖病疗效观察	洪巧恩	南京中医药大学	硕士	2017		77	原版阅读      CNKI AI阅读
153	佩连麻黄方治疗肥胖症的临床评价及对肥胖大鼠瘦素信号转导通路的影响	马建	黑龙江中医药大学	博士	2014	16	895	原版阅读      CNKI AI阅读
154	肥胖的证治规律研究	史兴洲	辽宁中医药大学	硕士	2014	5	421	原版阅读      CNKI AI阅读
155	排刺结合穴位埋线治疗脾虚湿盛型肥胖90例的临床观察	邓俏	黑龙江中医药大学	硕士	2014	2	343	原版阅读      CNKI AI阅读
156	温肾健脾化痰方治疗单纯性肥胖的临床及实验研究	司银梅	湖北中医药大学	博士	2014	29	1660	原版阅读      CNKI AI阅读
157	健脾调肝化浊法治疗单纯性肥胖症合并糖调节受损的实验研究及临床疗效评价	冯博	山东中医药大学	博士	2014	11	785	原版阅读      CNKI AI阅读
158	卵巢早衰中医证型与血清FSH,E2及相关因素研究	蔡光霞	成都中医药大学	硕士	2014	7	359	原版阅读      CNKI AI阅读
159	宫廷理筋术之振腹疗法治疗单纯性肥胖症的临床研究	武晓君	北京中医药大学	硕士	2014	9	658	原版阅读      CNKI AI阅读
160	中医药针对冠心病初级预防阶段健康管理作用探讨	蔡蓉蓉	北京中医药大学	硕士	2014	4	878	原版阅读      CNKI AI阅读
161	针刺治疗单纯性肥胖症脾虚湿阻型的临床观察	郑伟	北京中医药大学	硕士	2014	6	353	原版阅读      CNKI AI阅读
162	针刺治疗更年期妇女肥胖的临床研究	Fatima Bilgen	南京中医药大学	硕士	2014	2	274	原版阅读      CNKI AI阅读
163	灵龟八法针刺对单纯性肥胖患者疗效及血糖、血脂的影响	欧志光	广州中医药大学	博士	2014	12	702	原版阅读      CNKI AI阅读
164	运腹通经推拿法治疗单纯性肥胖症（脾失健运证）及对脂肪代谢影响的机制研究	卓越	长春中医药大学	博士	2014	21	1013	原版阅读      CNKI AI阅读
165	不同层次简易穴位埋线对单纯性肥胖患者临床疗效对比研究	刘莉	贵阳中医学院	硕士	2014	11	621	原版阅读      CNKI AI阅读
166	针灸调理气虚痰湿体质治疗单纯性肥胖的临床研究	林培挺	广州中医药大学	硕士	2014	18	1126	原版阅读      CNKI AI阅读
167	隔盐灸神阙穴配合针刺治疗痰湿型肥胖	张琼	广州中医药大学	硕士	2014	15	683	原版阅读      CNKI AI阅读
168	穴位埋线治疗痰湿壅盛型高血压临床疗效观察	岳萍	新疆医科大学	硕士	2014	3	234	原版阅读      CNKI AI阅读
169	针刺与穴位埋线治疗单纯性肥胖患者（脾虚湿阻型）的临床疗效对比观察	郭秀兰	成都中医药大学	硕士	2014	3	285	原版阅读      CNKI AI阅读
170	电针对单纯性肥胖大鼠血脂代谢影响的研究	谭金凤	成都中医药大学	硕士	2014	10	189	原版阅读      CNKI AI阅读
171	针罐综合减肥法治疗单纯性肥胖症的临床观察	林浩春	南方医科大学	硕士	2014	9	1407	原版阅读      CNKI AI阅读
172	脐周八穴透刺治疗脾虚湿阻型单纯性肥胖症的临床研究	黄纳伯	福建中医药大学	硕士	2013	5	383	原版阅读      CNKI AI阅读
173	针灸治疗单纯性肥胖临床疗效的Meta-分析	李得平	湖北中医药大学	硕士	2013	12	1685	原版阅读      CNKI AI阅读
174	穴位埋线结合耳穴贴压对单纯性肥胖患疗效及血脂、血糖的临床观察研究	郑开文	广州中医药大学	博士	2013	24	2712	原版阅读      CNKI AI阅读
175	麦粒灸治疗脾虚湿阻型单纯性肥胖症的临床研究	林玲如	广州中医药大学	硕士	2013	20	268	原版阅读      CNKI AI阅读
176	推拿手法治疗脾虚湿阻型单纯性肥胖症的临床观察	陈勇	北京中医药大学	硕士	2013	16	735	原版阅读      CNKI AI阅读
177	穴位埋线治疗单纯性肥胖症的临床研究	王磊	北京中医药大学	硕士	2013	8	1249	原版阅读      CNKI AI阅读
178	从脾胃失调论治肥胖病的文献整理及其与褪黑素—棕色脂肪相关性的理论探讨	李正锡	北京中医药大学	硕士	2013	11	1023	原版阅读      CNKI AI阅读
179	穴位埋线治疗单纯性肥胖病的临床疗效及分子机制研究	闫润虎	大连医科大学	博士	2013	19	1227	原版阅读      CNKI AI阅读
