	篇名	作者	刊名	发表时间	被引	下载	操作
64	基于CiteSpace的中医运气理论研究可视化分析	牛馨怡 汲泓	山西中医药大学学报	2023-07-28		99	HTML阅读      CNKI AI阅读
65	基于CiteSpace的中医特色调护在糖尿病周围神经病变应用中的研究热点及发展趋势分析	朱胜伶 余丹 郑如兰 谢雯雯	新中医	2023-07-10		275	HTML阅读      CNKI AI阅读
66	基于CiteSpace的乳腺癌中医护理研究热点分析	王璐杉 王国蓉 李松兰 姚丹 邢乃芳	当代护士(下旬刊)	2023-07-01	2	268	HTML阅读      CNKI AI阅读
67	基于CiteSpace的我国中医专科护士研究热点与趋势的可视化分析	隆丽芳 魏琳 王秋婷 朱丽佳 胡萍 谢嘉欣 朱鑫鑫 谢湘萁 林美珍	全科护理	2023-06-20	4	658	HTML阅读      CNKI AI阅读
68	基于CiteSpace的我国近10年2型糖尿病中医护理研究热点的可视化分析	蒋小芳 闫小红	全科护理	2023-06-20	4	607	HTML阅读      CNKI AI阅读
69	基于CiteSpace的近20年中医典籍英译研究可视化分析	周锋 曹玲	中医药管理杂志	2023-06-14		317	HTML阅读      CNKI AI阅读
70	基于CiteSpace的红外热成像技术在中医领域应用的可视化分析	张一勉 王煜杰 李宁 范杨阳 王天芳	世界中西医结合杂志	2023-05-28	4	699	HTML阅读      CNKI AI阅读
71	基于CiteSpace对慢性阻塞性肺疾病中医外治法相关研究的可视化分析	赵海萌 彭艳茹 王淑芹	中国医药	2023-05-06	6	749	HTML阅读      CNKI AI阅读
72	基于CiteSpace知识图谱对中医血浊理论研究热点与趋势的可视化分析	王牧仁 孙旭 刘娇 郭春莉	中国医药导报	2023-04-25	4	430	HTML阅读      CNKI AI阅读
73	中医文化研究的热点、趋势与展望——基于CiteSpace的文献计量学研究（1992-2021）	魏俊彦 刘毅 张淼	世界科学技术-中医药现代化	2023-04-18 13:54	8	2284	HTML阅读      CNKI AI阅读
74	基于CiteSpace中医拔罐疗法研究热点的可视化分析	吴菲霞 裴金霞 朱翡翡	护理与康复	2023-04-11	1	645	HTML阅读      CNKI AI阅读
75	基于CiteSpace中医治疗双心疾病可视化分析	莫凌 尹晓芳 周慧 鄢磊 肖长江	亚太传统医药	2023-04-05	2	544	HTML阅读      CNKI AI阅读
76	基于CiteSpace的慢性心力衰竭中医证候研究可视化分析	周毅 王代明 李小茜 何建成	时珍国医国药	2023-03-20	10	1171	HTML阅读      CNKI AI阅读
77	基于CiteSpace知识网络图谱的中医延续护理研究进展	谢小芬 路遥 杨鑫 刘汉娇	中医临床研究	2023-03-17 11:21	2	638	HTML阅读      CNKI AI阅读
78	基于CiteSpace对2012—2021年我国糖尿病中医护理研究热点与趋势的文献计量分析	陈必慧 韩倩楠 傅涵 陈蕾 朱海利	中国医药科学	2023-03-15	3	614	HTML阅读      CNKI AI阅读
79	基于CiteSpace的我国近十年术后中医护理的可视化分析	张芳 包利红 方颖 车云霞 李维燕 张丽平	天津护理	2023-02-28	2	457	HTML阅读      CNKI AI阅读
80	基于CiteSpace的中医方剂配伍规律数据挖掘研究现状与展望	王得科 石文 张静宇 门玉冉 陈洪苇 刘建玲	电脑知识与技术	2023-02-25	2	172	HTML阅读      CNKI AI阅读
81	中医关于抑郁症研究的CiteSpace可视化分析	何晨皓 王馨苑 孙付童语 王枫 谭曦	中国医药导报	2023-02-15	4	1436	HTML阅读      CNKI AI阅读
82	基于Citespace的中医隐喻认知研究的热点与前沿分析(1990-2021)	刘庆华 贾春华	世界科学技术-中医药现代化	2023-01-30 13:40	9	1056	HTML阅读      CNKI AI阅读
83	基于CiteSpace的中医适宜技术治疗围绝经期失眠的可视化分析	韩倩楠 陈必慧 朱海利	中医药导报	2023-01-28	9	936	HTML阅读      CNKI AI阅读
84	基于核心期刊传统中医推拿研究热点趋势及展望的CiteSpace可视化分析	商强强 姚俊杰 王宇峰 栗嘉徽 刘畅 庞婷婷 丛德毓	实用临床医药杂志	2023-01-08	4	470	HTML阅读      CNKI AI阅读
85	基于CiteSpace对面瘫中医护理相关文献的可视化分析	赵海蓉 王波	循证护理	2022-12-25	5	650	HTML阅读      CNKI AI阅读
86	基于CiteSpace的中医软坚散结法的可视化分析	李思婷 王志国	中国医药导报	2022-12-15	1	277	HTML阅读      CNKI AI阅读
87	2012—2021年国家自然科学基金脑卒中中医内科研究领域申请与资助分析——基于 CiteSpace的可视化分析	徐鹏 赵京霞 高铸烨 张冬梅 黄琳 叶涛 袁恺 毕明刚	长春中医药大学学报	2022-12-08	10	652	HTML阅读      CNKI AI阅读
88	基于CiteSpace中医外治法治疗功能性便秘的可视化分析	陈锡 于永铎 陈萌	实用中医内科杂志	2022-12-01 10:50	6	1306	HTML阅读      CNKI AI阅读
89	基于CiteSpace的乳腺癌中医相关研究可视化分析	赵啸虎 王颖蕊 慕岳峻 谭松 侯爱画	中医肿瘤学杂志	2022-11-25	2	470	HTML阅读      CNKI AI阅读
90	基于CiteSpace分析我国2002年-2022年中医五音研究热点及趋势	刘娜 李芳 曹梦洁 郭金晶 张卿瑾 谢学娟 赵文静 郭少凡	大众科技	2022-11-20	2	223	HTML阅读      CNKI AI阅读
91	基于CiteSpace的我国中医传统功法治疗腰椎间盘突出症可视化分析	戴文昊 郭冰清 解强 刘亦冰 常俊杰 高俊 张曦	中国医药导报	2022-11-15	12	479	HTML阅读      CNKI AI阅读
92	基于CiteSpace的中医治疗乳腺癌的知识图谱可视化分析	赖琦 谢丹 戴韫	西部中医药	2022-11-15	2	399	HTML阅读      CNKI AI阅读
93	基于CiteSpace的中医治疗复发性流产可视化分析	陈紫薇 任梦雪 郭利 周琳 陈瑞雪	世界中西医结合杂志	2022-10-28	3	624	HTML阅读      CNKI AI阅读
94	运用CiteSpace探讨中医基于脑肠互动理论对功能性胃肠病的研究	杨煜晗 王彦刚 马立亚 申鹏鹏 赵悦佳	世界中西医结合杂志	2022-10-28	5	610	HTML阅读      CNKI AI阅读
95	基于CiteSpace的中医气功临床研究知识图谱可视化分析	张田 张海波 李新 张小豪 杨秀明	中国医药导报	2022-10-25	2	331	HTML阅读      CNKI AI阅读
96	基于CiteSpace的脑卒中中医护理研究可视化分析	颜新凌 马小琴 黄瑞盈	护理与康复	2022-08-20	7	998	HTML阅读      CNKI AI阅读
97	中医领域内关于孤独症谱系障碍的研究现状及未来趋势分析-基于CiteSpace和VOSviewer的可视化分析	薛雅若 李建兵 安子萌 李彦彩 隋宇航 茅若兰 陈栋 鲍超	世界科学技术-中医药现代化	2022-07-19 16:49	14	2012	HTML阅读      CNKI AI阅读
98	基于CiteSpace的高血压中医外治法相关研究的可视化分析	王宁 王瑞祥 宋咏梅	中国医药导报	2022-07-15	11	1173	HTML阅读      CNKI AI阅读
99	基于CiteSpace知识图谱的中医治疗早发性卵巢功能不全的可视化分析	白晓娟 郝秀芳 李云波	世界中西医结合杂志	2022-06-28	3	806	HTML阅读      CNKI AI阅读
100	基于CiteSpace的亚健康中医体质知识图谱可视化与文献计量分析	王东军 孙璇 田春颖 孙旭 关媛媛 李馨 步怀恩 王泓午	西部中医药	2022-04-15	14	734	HTML阅读      CNKI AI阅读
	篇名	作者	刊名	发表时间	被引	下载	操作
101	基于CiteSpace的中医医疗服务价格研究现状与热点分析	石斌 冯美菱 吴绍峰 程方安	老字号品牌营销	2022-04-10		412	HTML阅读      CNKI AI阅读
102	基于CiteSpace的中医体质与行为生活方式研究知识图谱可视化分析	贾丽燕 朱燕波 张千 赵心源	天津中医药	2022-03-12	4	842	HTML阅读      CNKI AI阅读
103	基于CiteSpace中医情志护理研究可视化分析	赖鹏 林国栋 林昌稳 刘致含 熊坚 王萌 高炜燕 罗宇	全科护理	2022-02-10	12	1120	HTML阅读      CNKI AI阅读
104	基于Citespace的中医健康管理知识图谱可视化分析	周宗慧 朱青青 孙璇 王东军 王泓午	天津中医药	2022-01-12	9	907	HTML阅读      CNKI AI阅读
105	基于CiteSpace的中医教育研究热点与趋势可视化分析	张若楠 李享 郑方琳 王天琦 李艺清 侯胜田	中国医药导报	2021-12-05	7	523	HTML阅读      CNKI AI阅读
106	基于CiteSpace中医防治疫病知识图谱可视化分析	王霜 王国为 杨威	中国中医药图书情报杂志	2021-12-01	7	1153	HTML阅读      CNKI AI阅读
107	基于CiteSpace分析我国2011年—2021年中医食疗研究热点及趋势	郝晓蓓 汪旭 薛梦婷 潘娅岚 王庆 鲍黎 徐桂华	护理研究	2021-11-25	24	3425	HTML阅读      CNKI AI阅读
108	基于CiteSpace的肿瘤患者中医护理研究热点及发展趋势分析	肖纯 李文雅 刘娅健 彭晓玲	中国医药导报	2021-11-25	17	863	HTML阅读      CNKI AI阅读
109	中医体质知识图谱分析——基于VOSviewer和CiteSpace的计量分析	石燕 何黎 任秋静 刘露 温川飙 孙涛 罗悦	世界科学技术-中医药现代化	2021-10-21 11:50	35	3213	HTML阅读      CNKI AI阅读
110	基于CiteSpace的中医外治法治疗膝骨关节炎可视化分析	魏锦强 曾宪中 曹学伟 杨伟铭 王志科 邱文聪	中医药导报	2021-08-28	24	1518	HTML阅读      CNKI AI阅读
111	基于CiteSpace对名老中医研究领域现状和发展趋势的可视化分析	骆长永 于河 李勋欣 梅沉成 谷晓红	现代中医临床	2021-07-27	11	988	HTML阅读      CNKI AI阅读
112	基于CiteSpace的中医体质辨识研究可视化计量分析	钟慧慧 王东军 程嘉骏 王益民 王泓午	世界科学技术-中医药现代化	2021-07-13 15:58	11	1369	HTML阅读      CNKI AI阅读
113	基于CiteSpace的我国非小细胞肺癌中医相关研究的可视化分析	金梦洁 钱丽君 吕欣妮 尹佳钰 张振生 方志军	中医药导报	2021-05-28	6	659	HTML阅读      CNKI AI阅读
114	基于CiteSpace的中医治疗多囊卵巢综合征可视化分析	李静文 汪栋材 吴海滨 林基伟 宋晓容 程波敏	中医药导报	2021-03-28	9	918	HTML阅读      CNKI AI阅读
115	基于CiteSpace的中医“病证结合”文献知识图谱可视化分析	王龙 代彦林 韩姗姗 徐闪闪 高敏 张霞 丁樱	时珍国医国药	2021-03-25	15	952	HTML阅读      CNKI AI阅读
116	名老中医工作室视角下中医传承的CiteSpace可视化分析	王华 沈桂琴 龚颖 汤少梁 郁梅	南京中医药大学学报(社会科学版)	2021-03-18	2	541	HTML阅读      CNKI AI阅读
117	基于CiteSpace的中医养生知识图谱可视化分析	田昕彤 徐秀蒙 孙璇 邢淑丽 王泓午	中医药导报	2021-02-28	12	727	HTML阅读      CNKI AI阅读
118	基于Cite Space的中医糖尿病数据挖掘可视化分析	胡远樟 温川飙 程小恩	世界科学技术-中医药现代化	2020-08-17 10:12	3	1976	HTML阅读      CNKI AI阅读
119	基于Vosviewer与CiteSpace的中医治疗咳嗽病的可视化分析	张烨 黄宗海 胡远樟 许强 温川飙	中医药通报	2020-04-25	18	920	HTML阅读      CNKI AI阅读
120	基于CiteSpace软件的中医治疗新冠肺炎等疫病研究状况及趋势的可视化分析	鲍丙豪 王彬 王继升 代恒恒 邓省 冯隽龙 李海松	世界科学技术-中医药现代化	2020-04-09 11:44	46	4081	HTML阅读      CNKI AI阅读
121	基于CiteSpace的中医痰证诊断标准知识图谱可视化分析	任润媛 张琦 张婷婷 彭杨芷 汤臣建 叶莹	成都中医药大学学报	2020-03-15	3	602	HTML阅读      CNKI AI阅读
122	基于CiteSpace软件中医数据挖掘文献的可视化分析研究	林骞 徐浩	中国中西医结合杂志	2020-01-06 09:25	56	2300	HTML阅读      CNKI AI阅读
123	基于CiteSpace的中医传承研究可视化分析	张二力 董宇翔 黎明全 黄静波 谢天 杨雪芹	世界科学技术-中医药现代化	2019-12-20	24	748	HTML阅读      CNKI AI阅读
124	基于CiteSpace的中医胆石症知识图谱可视化分析	章小燕 雷黄伟 周常恩 闵莉	中医药信息	2019-09-09 10:27	39	1066	HTML阅读      CNKI AI阅读
125	基于CiteSpace文献计量可视化软件探讨国内糖尿病中医护理研究趋势	胡昌盛 陈丽萍 张彩霞 许星莹	广州中医药大学学报	2019-05-08	34	2158	HTML阅读      CNKI AI阅读
126	基于CiteSpace的中医体质学说知识图谱可视化分析	崔德华 张惠敏 黄蓉 于丹丹 廖星	中华中医药杂志	2019-02-01	38	2253	HTML阅读      CNKI AI阅读
127	基于CiteSpace的我国中医“治未病”文献知识图谱分析	李田 魏亚威 马利	中国中医基础医学杂志	2018-11-28	60	2009	HTML阅读      CNKI AI阅读
128	基于Citespace的中医导引术相关研究的可视化分析	石晶晶 薄荣强 胡元会 邱志凌 王欢 宋庆桥 汪九重	中国医药导报	2018-02-05	23	933	HTML阅读      CNKI AI阅读
	篇名	作者	刊名	发表时间	被引	下载	操作
1	中医药治疗甲状腺功能亢进研究热点及趋势的可视化分析	包培祖 王建强 豆驭昕	基层中医药	2025-05-30			HTML阅读      CNKI AI阅读
2	基于CiteSpace的中医药治疗糖尿病视网膜病变的知识图谱可视化分析	马晓花 罗向霞 庄家圆 康莉	国际眼科杂志	2025-05-30			HTML阅读      CNKI AI阅读
3	基于CiteSpace和VOSviewer的中医药辅助放化疗治疗恶性肿瘤的可视化分析	刘竹君 张婉怡 李之阳 高晴 宋厚盼 曾梅艳	中药新药与临床药理	2025-05-25		83	HTML阅读      CNKI AI阅读
4	基于CiteSpace对国内中医药治疗结节性痒疹的可视化分析	陈贵婧 李佳岚 尹晓华 刘湘 雷明君 沙丹丹	中国医药导报	2025-05-15			HTML阅读      CNKI AI阅读
5	基于CiteSpace中医药治疗不稳定型心绞痛的可视化分析 网络首发	陈典 朱晓庆 王清松 宋婷婷 李子端 李逾 陈琦 陈韬	中国循证心血管医学杂志	2025-05-07 09:03		206	原版阅读      CNKI AI阅读
6	基于CiteSpace的近十年中医药治疗感染后咳嗽可视化分析	肖桐 陈海涛 张尊敬	医学信息	2025-05-01		51	HTML阅读      CNKI AI阅读
7	基于CiteSpace的子午流注研究文献可视化分析	林淑艳 李杰 陈伶利	中国中医药图书情报杂志	2025-05-01		49	HTML阅读      CNKI AI阅读
8	中医浊毒理论研究文献可视化分析	汪燕红 李鲲 赵玉凤 苏鹏丽 袁润 徐鹏	中国中医药图书情报杂志	2025-05-01		23	HTML阅读      CNKI AI阅读
9	基于CiteSpace的中医药治疗呃逆研究文献可视化分析	杨佳伟 严可琢 周德楷 何佳泽 邓成健 黄伟昌	中国中医药图书情报杂志	2025-05-01		34	HTML阅读      CNKI AI阅读
10	2000-2024年中医互联网医疗服务研究文献可视化分析	吴康妍 司静宇 严恺	中国中医药图书情报杂志	2025-05-01		42	HTML阅读      CNKI AI阅读
11	基于CiteSpace和VOSviewer的中医医院评价研究文献可视化分析	陈敏娇 李宗友 刘晶 石英杰 马金戈 宋源 张雨琪	中国中医药图书情报杂志	2025-05-01		27	HTML阅读      CNKI AI阅读
12	基于CiteSpace和VOSviewer的中医药防治急性肺损伤研究文献可视化分析	段雯慧 李金文 雷丰丰	中国中医药图书情报杂志	2025-05-01		21	HTML阅读      CNKI AI阅读
13	基于CiteSpace的中医药治疗肾虚证研究热点和趋势的可视化分析	董发亮 史永超 黄小玉 张嵩科 李翠娟 李绍林	世界中西医结合杂志	2025-04-28		25	HTML阅读      CNKI AI阅读
14	基于VOSviewer和CiteSpace的中医药治疗化疗相关消化道反应研究热点及发展趋势可视化分析	戴悦宁 叶轩婷 苏羚子 王治英 王德才 龚亚斌 焦丽静 许玲	世界中西医结合杂志	2025-04-28		15	HTML阅读      CNKI AI阅读
15	中医药诊治精索静脉曲张性不育的可视化分析	李胜男 陈腾飞 贾志超 李啸林 仲崇副	中国性科学	2025-04-25		65	HTML阅读      CNKI AI阅读
