	篇名	作者	学位授予单位	数据库	学位授予年度	被引	下载	操作
26	基于“细胞摄取-配体垂钓”技术探讨黄柏“酒制升提”的炮制作用机制	赵佳慧	辽宁中医药大学	硕士	2024		144	原版阅读      CNKI AI阅读
27	基于“细胞摄取—配体垂钓”技术探讨黄柏“盐炙入肾”的炮制作用机制	葛修通	辽宁中医药大学	硕士	2024		120	原版阅读      CNKI AI阅读
28	天然产物的增强CD8+ T细胞记忆分化与抗感染力作用	王娅玲	北京协和医学院	硕士	2024		65	原版阅读      CNKI AI阅读
29	黄连提取物小檗碱增强肠干细胞功能促进放射性肠炎再生修复的作用及机制研究	屠思雨	成都中医药大学	硕士	2024		210	原版阅读      CNKI AI阅读
30	基于Ftr1依赖的铁还原系统研究小檗碱对白色念珠菌的抗菌机制	郑东明	成都中医药大学	硕士	2024		85	原版阅读      CNKI AI阅读
31	基于溶血磷脂酸调控肺成纤维细胞活化增殖探究小檗碱治疗ILD的机制	李婷婷	华中科技大学	硕士	2024		14	原版阅读      CNKI AI阅读
32	小檗碱调节肠道菌群增强肺癌PD-1免疫治疗敏感性的作用机制研究	韩广素	华中科技大学	硕士	2024		40	原版阅读      CNKI AI阅读
33	盐酸小檗碱对慢性前列腺炎/慢性盆腔疼痛综合征治疗作用的研究	田逸群	华中科技大学	硕士	2024		44	原版阅读      CNKI AI阅读
34	小檗碱调节肠道菌群及糖脂代谢治疗2型糖尿病的机制研究	胡雅谦	云南中医药大学	硕士	2024		33	原版阅读      CNKI AI阅读
35	高性能荧光材料的制备、表征及应用	王腾飞	湖北民族大学	硕士	2024		228	原版阅读      CNKI AI阅读
36	盐酸小檗碱通过调节自噬抑制口腔鳞状细胞癌增殖的研究	肖金枝	湖北医药学院	硕士	2024		125	原版阅读      CNKI AI阅读
37	BMP9-Gel-PDA@BBR协同促进成骨与抗炎在治疗具核梭杆菌引发的慢性牙周炎中的初步研究	周思琪	重庆医科大学	硕士	2024		177	原版阅读      CNKI AI阅读
38	盐酸小檗碱光敏纳米复合纤维的构建及协同抗菌性能评价	林文波	吉林农业大学	硕士	2024		197	原版阅读      CNKI AI阅读
39	基于苦味受体初步探讨黄连“苦寒伤胃”的机制	吴志钟彬	西南大学	硕士	2024		222	原版阅读      CNKI AI阅读
40	光质及SOMT基因编辑对黄连表小檗碱和黄连碱积累的研究	王瑞康	西南大学	硕士	2024		62	原版阅读      CNKI AI阅读
41	胡芦巴丸化裁方及其组分小檗碱调控线粒体稳态改善DKD的机制研究	龚敏敏	华中科技大学	博士	2024		83	原版阅读      CNKI AI阅读
42	增加小檗碱药效的实验研究	马晓蕾	北京协和医学院	博士	2024		250	原版阅读      CNKI AI阅读
43	基于普鲁士蓝的Janus结构纳米载体用于药物递送及联合抗菌治疗	周一凡	东北林业大学	硕士	2024		151	原版阅读      CNKI AI阅读
44	配体特异性识别核酸多链体结构及应用研究	曾兴莉	浙江师范大学	硕士	2024		20	原版阅读      CNKI AI阅读
45	基于苦味受体/热敏受体探讨左金丸治疗胃食管反流病的分子机制	崔国良	南京中医药大学	博士	2024		558	原版阅读      CNKI AI阅读
46	黄连提取物通过gC1qR-EGFR/ERK/c-Fos轴诱导口腔上皮细胞内吞作用来缓解口咽念珠菌病	鲍孟媛	安徽中医药大学	硕士	2024		112	原版阅读      CNKI AI阅读
47	小檗碱干预cKIT激酶抗胃肠间质瘤研究	王玉	安徽中医药大学	硕士	2024		31	原版阅读      CNKI AI阅读
48	小檗碱联合微波对软组织损伤大鼠的干预作用及机制研究	杜田昊	辽宁中医药大学	硕士	2024		50	原版阅读      CNKI AI阅读
49	基于网络药理学和实验研究小檗碱治疗口腔扁平苔藓的作用机制	陈楚	成都中医药大学	硕士	2024		123	原版阅读      CNKI AI阅读
50	小檗碱对肌萎缩侧索硬化症SOD1-G93A转基因小鼠模型的干预研究	李曼	河北医科大学	硕士	2024		44	原版阅读      CNKI AI阅读
	中文题名	作者	学位授予单位	数据库	学位授予年度	被引	下载	操作
51	基于p62/Keap1/Nrf2通路介导的铁死亡探讨盐酸小檗碱抗甲状腺未分化癌的作用机制研究	王艳	河北医科大学	硕士	2024		62	原版阅读      CNKI AI阅读
52	黄连及其有效成分改善糖脂代谢异常仓鼠肠道-肠系膜功能的关联性研究	李凯鹏	河北医科大学	硕士	2024		59	原版阅读      CNKI AI阅读
53	自制抗体联合盐酸小檗碱对幽门螺旋杆菌的抑制作用	周露	河北医科大学	硕士	2024		70	原版阅读      CNKI AI阅读
54	PKC-β/p66Shc介导小檗碱联合阿霉素诱导甲状腺未分化癌细胞凋亡	李晨	河北医科大学	硕士	2024		14	原版阅读      CNKI AI阅读
55	基于IL-23/IL-17信号通路探讨黄连提取物小檗碱对强直性脊柱炎成纤维样滑膜细胞的影响	刘跃振	甘肃中医药大学	硕士	2024	1	206	原版阅读      CNKI AI阅读
56	当归六黄颗粒成型工艺、质量评价及其抗甲亢肾损伤作用机制研究	于前	长春中医药大学	硕士	2024		540	原版阅读      CNKI AI阅读
57	小檗碱通过Ptgs2抑制成纤维细胞增殖同时调控成骨细胞和成纤维细胞花生四烯酸代谢促进骨再生的机制研究	李天	中国医科大学	博士	2024		160	原版阅读      CNKI AI阅读
58	小檗碱-掺锰的白蛋白/明胶复合纳米凝胶用于大鼠痛风性关节炎的治疗研究	孙俊朋	锦州医科大学	硕士	2024		71	原版阅读      CNKI AI阅读
59	CCL2通过调节CCR2/PI3K/AKT/NF-κB信号通路影响糖尿病肾病巨噬细胞极化及小檗碱的作用研究	王蓉蓉	安徽医科大学	硕士	2024		259	原版阅读      CNKI AI阅读
60	奶牛体外胚胎生产和冷冻保存效果研究	任莹	河北工程大学	硕士	2023		81	原版阅读      CNKI AI阅读
61	卵腹康颗粒的制备及其对蛋鸡输卵管炎的药效学研究	杜维茂	四川农业大学	硕士	2023		77	原版阅读      CNKI AI阅读
62	盐酸小檗碱对高盐、高糖及高盐高糖环境线虫形态学及寿命的影响	徐婋	北京中医药大学	硕士	2023		246	原版阅读      CNKI AI阅读
63	白头翁口服液制备工艺及质量标准优化研究	韩汝硕	河北农业大学	硕士	2023		49	原版阅读      CNKI AI阅读
64	小檗碱调控脂噬改善糖尿病心肌病的机制研究	陈文贤	深圳大学	硕士	2023	1	80	原版阅读      CNKI AI阅读
65	小檗碱抑制心肌细胞焦亡改善糖尿病心肌病小鼠心脏功能	钟长生	深圳大学	硕士	2023		61	原版阅读      CNKI AI阅读
66	光动力疗法联合小檗碱对牙龈卟啉单胞菌的抑制作用及机制研究	李天甜	郑州大学	硕士	2023		12	原版阅读      CNKI AI阅读
67	小檗碱对脑出血的神经保护作用	王青丽	郑州大学	硕士	2023		4	原版阅读      CNKI AI阅读
68	小檗碱/软骨细胞/磷酸肌酸修饰壳聚糖水凝胶修复小鼠软骨缺损的实验研究	陈奕孝	遵义医科大学	硕士	2023		149	原版阅读      CNKI AI阅读
69	藻基炭/平板陶瓷膜电极活化PMS处理抗生素废水	朱筱钰	大连理工大学	硕士	2023		11	原版阅读      CNKI AI阅读
70	跑台运动联合小檗碱对代谢相关脂肪性肝病小鼠肠道菌群及肝脏脂肪酸β氧化的作用研究	张晓建	沈阳体育学院	硕士	2023		1	原版阅读      CNKI AI阅读
71	附子理中丸对伊立替康肠道毒性的保护作用及机制研究	罗菲	右江民族医学院	硕士	2023	1	294	原版阅读      CNKI AI阅读
72	基于改性明胶抗菌粘附水凝胶制备及性能研究	杜琬婷	大连理工大学	硕士	2023		24	原版阅读      CNKI AI阅读
73	二尖梅奇酵母拮抗菌和抑菌中药筛选及抑菌机理研究	曲鸽	沈阳农业大学	硕士	2023	3	383	原版阅读      CNKI AI阅读
74	小檗碱-壳聚糖温敏性水凝胶的制备及其对犬感染性骨缺损的治疗作用	宋淼	东北农业大学	博士	2023	2	1644	原版阅读      CNKI AI阅读
75	环境响应型载药体系的构建及其在植物病害防控中的研究	梁文龙	浙江大学	博士	2023	5	809	原版阅读      CNKI AI阅读
76	羟基吡啶酮偶联补骨脂乙素、小檗碱抗铜绿假单胞菌的研究	钟晓琳	暨南大学	硕士	2023		38	原版阅读      CNKI AI阅读
77	四氢小檗碱通过抑制铁死亡减轻叶酸引起的急性肾损伤	吴凡	暨南大学	硕士	2023		28	原版阅读      CNKI AI阅读
78	载盐酸小檗碱蜣螂壳聚糖微球的制备与评价	唐朝霞	西南科技大学	硕士	2024	2	1442	原版阅读      CNKI AI阅读
79	黄连中的多糖与小檗碱联用对慢性溃疡性结肠炎小鼠的治疗作用及机制研究	王雪梅	天津中医药大学	硕士	2023	1	791	原版阅读      CNKI AI阅读
80	基于电化学生物传感技术构建中药黄柏生物效应检测方法及其在质量评价中的应用研究	李婧荣	天津中医药大学	硕士	2023	1	346	原版阅读      CNKI AI阅读
81	从肠道微生物-SCFAs-脑轴角度探讨黄连主要成分盐酸小檗碱治疗抑郁症的作用机制研究	何媛媛	天津中医药大学	硕士	2023	1	431	原版阅读      CNKI AI阅读
82	盐酸小檗碱、阿莫西林、伏诺拉生三联疗法初次根除治疗幽门螺杆菌的有效性及安全性研究	陈沙沙	西安医学院	硕士	2023		171	原版阅读      CNKI AI阅读
83	高效抗菌薄膜的制备及其在食品包装中的应用	郭寒琼	天津科技大学	硕士	2023		288	原版阅读      CNKI AI阅读
84	盐酸小檗碱抗APEC感染鸡巨噬细胞的作用研究	石海涛	吉林大学	硕士	2023	1	450	原版阅读      CNKI AI阅读
85	基于GEO基因芯片探究小檗碱对结肠腺癌的影响	谭超	南昌大学	硕士	2023	1	284	原版阅读      CNKI AI阅读
86	小檗碱改善重复序列扩增障碍的机制研究及其固体分散体的制备	祝铭	长春中医药大学	硕士	2023	1	152	原版阅读      CNKI AI阅读
87	小檗碱/香芹酚复合温敏型壳聚糖水凝胶的制备及其治疗子宫内膜炎的效果观察	王鑫	东北农业大学	硕士	2023	1	793	原版阅读      CNKI AI阅读
88	小檗碱对猫小肠炎症损伤的保护作用	刘佳	东北农业大学	硕士	2023		213	原版阅读      CNKI AI阅读
89	盐酸小檗碱抑制铜绿假单胞菌及其生物膜的机制研究	刘青宇	湖南中医药大学	硕士	2023	2	1093	原版阅读      CNKI AI阅读
90	盐酸小檗碱纳米乳的制备及对干性AMD模型小鼠的作用研究	李方琴	江西中医药大学	硕士	2023	1	742	原版阅读      CNKI AI阅读
91	小檗碱与芍药苷经皮吸收相互作用机制及制剂学研究	邹佳	江西中医药大学	硕士	2023	2	608	原版阅读      CNKI AI阅读
92	中药单体联合抗菌药物对犊牛源大肠杆菌生物被膜形成的影响及其机制探究	宋晨	内蒙古农业大学	硕士	2023	5	809	原版阅读      CNKI AI阅读
93	黄连散的研制及其对黏菌素致小鼠肾损伤的保护作用	黄玲	广西大学	硕士	2023		152	原版阅读      CNKI AI阅读
94	中药活性成分代谢物-氧化小檗红碱的发现、合成及其抗高尿酸作用研究	钟林江	广州中医药大学	硕士	2023	2	414	原版阅读      CNKI AI阅读
95	岩藻多糖偶联的盐酸小檗碱脂质体的制备及其炎症靶向作用研究	刘露	四川农业大学	硕士	2023		528	原版阅读      CNKI AI阅读
96	抗桃流胶病菌植物源物质筛选及抑制作用初探	王星雨	华中农业大学	硕士	2023	1	133	原版阅读      CNKI AI阅读
97	小檗碱调节IR肝细胞外泌体miRNAs影响星形胶质细胞AQP4表达作用研究	郭梦情	天津中医药大学	硕士	2023	1	222	原版阅读      CNKI AI阅读
98	小檗碱转化菌株分离、功能酶分析及其应用工艺研究	史文倩	河北农业大学	硕士	2023		236	原版阅读      CNKI AI阅读
99	小檗碱通过靶向激活并修复自噬-溶酶体通路清除胞内H. pylori的机制研究	杨轶涵	南昌大学	博士	2023		953	原版阅读      CNKI AI阅读
100	基于TXNIP/NLRP3/GSDMD通路探讨小檗碱调节ox-LDL诱导内皮细胞焦亡的机制研究	于莉莉	河南中医药大学	硕士	2023		57	原版阅读      CNKI AI阅读	中文题名	作者	学位授予单位	数据库	学位授予年度	被引	下载	操作
51	基于p62/Keap1/Nrf2通路介导的铁死亡探讨盐酸小檗碱抗甲状腺未分化癌的作用机制研究	王艳	河北医科大学	硕士	2024		62	原版阅读      CNKI AI阅读
52	黄连及其有效成分改善糖脂代谢异常仓鼠肠道-肠系膜功能的关联性研究	李凯鹏	河北医科大学	硕士	2024		59	原版阅读      CNKI AI阅读
53	自制抗体联合盐酸小檗碱对幽门螺旋杆菌的抑制作用	周露	河北医科大学	硕士	2024		70	原版阅读      CNKI AI阅读
54	PKC-β/p66Shc介导小檗碱联合阿霉素诱导甲状腺未分化癌细胞凋亡	李晨	河北医科大学	硕士	2024		14	原版阅读      CNKI AI阅读
55	基于IL-23/IL-17信号通路探讨黄连提取物小檗碱对强直性脊柱炎成纤维样滑膜细胞的影响	刘跃振	甘肃中医药大学	硕士	2024	1	206	原版阅读      CNKI AI阅读
56	当归六黄颗粒成型工艺、质量评价及其抗甲亢肾损伤作用机制研究	于前	长春中医药大学	硕士	2024		540	原版阅读      CNKI AI阅读
57	小檗碱通过Ptgs2抑制成纤维细胞增殖同时调控成骨细胞和成纤维细胞花生四烯酸代谢促进骨再生的机制研究	李天	中国医科大学	博士	2024		160	原版阅读      CNKI AI阅读
58	小檗碱-掺锰的白蛋白/明胶复合纳米凝胶用于大鼠痛风性关节炎的治疗研究	孙俊朋	锦州医科大学	硕士	2024		71	原版阅读      CNKI AI阅读
59	CCL2通过调节CCR2/PI3K/AKT/NF-κB信号通路影响糖尿病肾病巨噬细胞极化及小檗碱的作用研究	王蓉蓉	安徽医科大学	硕士	2024		259	原版阅读      CNKI AI阅读
60	奶牛体外胚胎生产和冷冻保存效果研究	任莹	河北工程大学	硕士	2023		81	原版阅读      CNKI AI阅读
61	卵腹康颗粒的制备及其对蛋鸡输卵管炎的药效学研究	杜维茂	四川农业大学	硕士	2023		77	原版阅读      CNKI AI阅读
62	盐酸小檗碱对高盐、高糖及高盐高糖环境线虫形态学及寿命的影响	徐婋	北京中医药大学	硕士	2023		246	原版阅读      CNKI AI阅读
63	白头翁口服液制备工艺及质量标准优化研究	韩汝硕	河北农业大学	硕士	2023		49	原版阅读      CNKI AI阅读
64	小檗碱调控脂噬改善糖尿病心肌病的机制研究	陈文贤	深圳大学	硕士	2023	1	80	原版阅读      CNKI AI阅读
65	小檗碱抑制心肌细胞焦亡改善糖尿病心肌病小鼠心脏功能	钟长生	深圳大学	硕士	2023		61	原版阅读      CNKI AI阅读
66	光动力疗法联合小檗碱对牙龈卟啉单胞菌的抑制作用及机制研究	李天甜	郑州大学	硕士	2023		12	原版阅读      CNKI AI阅读
67	小檗碱对脑出血的神经保护作用	王青丽	郑州大学	硕士	2023		4	原版阅读      CNKI AI阅读
68	小檗碱/软骨细胞/磷酸肌酸修饰壳聚糖水凝胶修复小鼠软骨缺损的实验研究	陈奕孝	遵义医科大学	硕士	2023		149	原版阅读      CNKI AI阅读
69	藻基炭/平板陶瓷膜电极活化PMS处理抗生素废水	朱筱钰	大连理工大学	硕士	2023		11	原版阅读      CNKI AI阅读
70	跑台运动联合小檗碱对代谢相关脂肪性肝病小鼠肠道菌群及肝脏脂肪酸β氧化的作用研究	张晓建	沈阳体育学院	硕士	2023		1	原版阅读      CNKI AI阅读
71	附子理中丸对伊立替康肠道毒性的保护作用及机制研究	罗菲	右江民族医学院	硕士	2023	1	294	原版阅读      CNKI AI阅读
72	基于改性明胶抗菌粘附水凝胶制备及性能研究	杜琬婷	大连理工大学	硕士	2023		24	原版阅读      CNKI AI阅读
73	二尖梅奇酵母拮抗菌和抑菌中药筛选及抑菌机理研究	曲鸽	沈阳农业大学	硕士	2023	3	383	原版阅读      CNKI AI阅读
74	小檗碱-壳聚糖温敏性水凝胶的制备及其对犬感染性骨缺损的治疗作用	宋淼	东北农业大学	博士	2023	2	1644	原版阅读      CNKI AI阅读
75	环境响应型载药体系的构建及其在植物病害防控中的研究	梁文龙	浙江大学	博士	2023	5	809	原版阅读      CNKI AI阅读
76	羟基吡啶酮偶联补骨脂乙素、小檗碱抗铜绿假单胞菌的研究	钟晓琳	暨南大学	硕士	2023		38	原版阅读      CNKI AI阅读
77	四氢小檗碱通过抑制铁死亡减轻叶酸引起的急性肾损伤	吴凡	暨南大学	硕士	2023		28	原版阅读      CNKI AI阅读
78	载盐酸小檗碱蜣螂壳聚糖微球的制备与评价	唐朝霞	西南科技大学	硕士	2024	2	1442	原版阅读      CNKI AI阅读
79	黄连中的多糖与小檗碱联用对慢性溃疡性结肠炎小鼠的治疗作用及机制研究	王雪梅	天津中医药大学	硕士	2023	1	791	原版阅读      CNKI AI阅读
80	基于电化学生物传感技术构建中药黄柏生物效应检测方法及其在质量评价中的应用研究	李婧荣	天津中医药大学	硕士	2023	1	346	原版阅读      CNKI AI阅读
81	从肠道微生物-SCFAs-脑轴角度探讨黄连主要成分盐酸小檗碱治疗抑郁症的作用机制研究	何媛媛	天津中医药大学	硕士	2023	1	431	原版阅读      CNKI AI阅读
82	盐酸小檗碱、阿莫西林、伏诺拉生三联疗法初次根除治疗幽门螺杆菌的有效性及安全性研究	陈沙沙	西安医学院	硕士	2023		171	原版阅读      CNKI AI阅读
83	高效抗菌薄膜的制备及其在食品包装中的应用	郭寒琼	天津科技大学	硕士	2023		288	原版阅读      CNKI AI阅读
84	盐酸小檗碱抗APEC感染鸡巨噬细胞的作用研究	石海涛	吉林大学	硕士	2023	1	450	原版阅读      CNKI AI阅读
85	基于GEO基因芯片探究小檗碱对结肠腺癌的影响	谭超	南昌大学	硕士	2023	1	284	原版阅读      CNKI AI阅读
86	小檗碱改善重复序列扩增障碍的机制研究及其固体分散体的制备	祝铭	长春中医药大学	硕士	2023	1	152	原版阅读      CNKI AI阅读
87	小檗碱/香芹酚复合温敏型壳聚糖水凝胶的制备及其治疗子宫内膜炎的效果观察	王鑫	东北农业大学	硕士	2023	1	793	原版阅读      CNKI AI阅读
88	小檗碱对猫小肠炎症损伤的保护作用	刘佳	东北农业大学	硕士	2023		213	原版阅读      CNKI AI阅读
89	盐酸小檗碱抑制铜绿假单胞菌及其生物膜的机制研究	刘青宇	湖南中医药大学	硕士	2023	2	1093	原版阅读      CNKI AI阅读
90	盐酸小檗碱纳米乳的制备及对干性AMD模型小鼠的作用研究	李方琴	江西中医药大学	硕士	2023	1	742	原版阅读      CNKI AI阅读
91	小檗碱与芍药苷经皮吸收相互作用机制及制剂学研究	邹佳	江西中医药大学	硕士	2023	2	608	原版阅读      CNKI AI阅读
92	中药单体联合抗菌药物对犊牛源大肠杆菌生物被膜形成的影响及其机制探究	宋晨	内蒙古农业大学	硕士	2023	5	809	原版阅读      CNKI AI阅读
93	黄连散的研制及其对黏菌素致小鼠肾损伤的保护作用	黄玲	广西大学	硕士	2023		152	原版阅读      CNKI AI阅读
94	中药活性成分代谢物-氧化小檗红碱的发现、合成及其抗高尿酸作用研究	钟林江	广州中医药大学	硕士	2023	2	414	原版阅读      CNKI AI阅读
95	岩藻多糖偶联的盐酸小檗碱脂质体的制备及其炎症靶向作用研究	刘露	四川农业大学	硕士	2023		528	原版阅读      CNKI AI阅读
96	抗桃流胶病菌植物源物质筛选及抑制作用初探	王星雨	华中农业大学	硕士	2023	1	133	原版阅读      CNKI AI阅读
97	小檗碱调节IR肝细胞外泌体miRNAs影响星形胶质细胞AQP4表达作用研究	郭梦情	天津中医药大学	硕士	2023	1	222	原版阅读      CNKI AI阅读
98	小檗碱转化菌株分离、功能酶分析及其应用工艺研究	史文倩	河北农业大学	硕士	2023		236	原版阅读      CNKI AI阅读
99	小檗碱通过靶向激活并修复自噬-溶酶体通路清除胞内H. pylori的机制研究	杨轶涵	南昌大学	博士	2023		953	原版阅读      CNKI AI阅读
100	基于TXNIP/NLRP3/GSDMD通路探讨小檗碱调节ox-LDL诱导内皮细胞焦亡的机制研究	于莉莉	河南中医药大学	硕士	2023		57	原版阅读      CNKI AI阅读
	中文题名	作者	学位授予单位	数据库	学位授予年度	被引	下载	操作
101	基于JAK2/STAT3信号通路探讨小檗碱调节平滑肌细胞增殖迁移及表型转换的作用机制研究	周阳	河南中医药大学	硕士	2023		39	原版阅读      CNKI AI阅读
102	小檗碱-罗丹宁衍生物的合成及抗菌活性研究	朱磊	北京化工大学	硕士	2023		370	原版阅读      CNKI AI阅读
103	基于网络药理学和小胶质细胞活化探讨中药复方黄连汤防治吗啡耐受的分子机制研究	韩帅	青岛大学	硕士	2023	1	199	原版阅读      CNKI AI阅读
104	去亚甲基小檗碱对MPP+诱导的SH-SY5Y细胞的保护作用机制研究	朱天立	青岛大学	硕士	2023		171	原版阅读      CNKI AI阅读
105	新型共轭聚合物材料的合成及其在季铵型生物碱药物分析中的应用	金翩	山东大学	硕士	2023		160	原版阅读      CNKI AI阅读
106	基于Eu掺杂ZnS量子点对两种生物碱分子检测体系的构建及机理研究	吴伟	山西师范大学	硕士	2023		58	原版阅读      CNKI AI阅读
107	小檗碱治疗多囊卵巢综合征慢性炎症作用机制的研究	刘学思	济宁医学院	硕士	2023	1	196	原版阅读      CNKI AI阅读
108	介孔分子筛对不同性质植物活性成分吸附行为研究	徐肖飞	吉首大学	硕士	2023		105	原版阅读      CNKI AI阅读
109	消渴饮水组分复方体内药物分析及质量控制研究	童其林	华中科技大学	博士	2023		498	原版阅读      CNKI AI阅读
110	小檗碱对慢性肾衰竭大鼠的肾脏保护作用及机制研究	谢丹丹	济宁医学院	硕士	2023	1	210	原版阅读      CNKI AI阅读
111	小檗碱抑制肝脏缺氧和神经酰胺合成改善胰岛素抵抗的机制研究	夏青松	华中科技大学	博士	2023		262	原版阅读      CNKI AI阅读
112	交泰丸及其有效组分小檗碱调控cAMP/PKA/CREB信号通路改善糖尿病抑郁障碍的机制研究	唐悦恒	华中科技大学	博士	2023		599	原版阅读      CNKI AI阅读
113	小檗碱靶向AMPK维持线粒体稳态对糖尿病心肌病心肌损伤的保护作用及机制研究	莫苒	华中科技大学	博士	2023	1	597	原版阅读      CNKI AI阅读
114	金纳米团簇负载小檗碱通过介导巨噬细胞/小胶质细胞极化促进脊髓损伤修复的实验研究	周子鹏	辽宁中医药大学	博士	2023		636	原版阅读      CNKI AI阅读
115	小檗碱在甲状腺相关眼病中的潜在治疗作用及机制研究	刁嘉乐	中国人民解放军海军军医大学	博士	2023	1	278	原版阅读      CNKI AI阅读
116	条件性永生化小鼠足细胞系及体外足细胞损伤模型的建立	黄玉娇	北京中医药大学	硕士	2023			原版阅读      CNKI AI阅读
117	小檗碱联用水苏糖通过改变肠道菌群增强肥胖小鼠的瘦素敏感性	吴丹	中南大学	硕士	2023		141	原版阅读      CNKI AI阅读
118	不同运动方式结合小檗碱对T2D大鼠肝脏糖代谢的作用：FGF21的机制	胡继田	安徽师范大学	硕士	2023		40	原版阅读      CNKI AI阅读
119	原小檗碱类生物碱和染料掺杂碳点在聚集性蛋白检测中的应用研究	李利	华中科技大学	硕士	2023		131	原版阅读      CNKI AI阅读
120	基于脂滴相关蛋白探讨小檗碱改善非酒精性脂肪肝的机制	王宏展	华中科技大学	硕士	2023		144	原版阅读      CNKI AI阅读
121	基于网络药理学探究黄连治疗牙周炎的抗炎机制及维生素C的预防作用	李薇	贵州大学	硕士	2023		208	原版阅读      CNKI AI阅读
122	小檗碱通过调节GSK3β/β-catenin通路发挥抗肺癌作用	旦增旺姆（TENZIN Wangmu）	华中科技大学	硕士	2023		91	原版阅读      CNKI AI阅读
123	RRM2介导盐酸小檗碱调控乳腺癌细胞上皮间质转化的机制研究	何佳明	重庆医科大学	硕士	2023		52	原版阅读      CNKI AI阅读
124	小檗碱温敏水凝胶在牙周炎治疗中的作用及相关机制的研究	王畅	吉林大学	硕士	2023		922	原版阅读      CNKI AI阅读
